Instance;Best Key;Avg Key;Worst Key;Best Time;Avg Time;Worst time;Feat Old;Feat New;Samples Old;Samples New
cleve-un.csv;31;39.7;55;0.08507633209228516;0.10737183094024658;0.13931727409362793;395;31;303;236;
appendicitis-un.csv;34;45.9;55;0.018950939178466797;0.024025988578796387;0.027657508850097656;530;34;106;44;
australian-un.csv;62;71.8;91;2.1873416900634766;2.6177690267562865;3.8849942684173584;1163;62;690;578;
hungarian-un.csv;37;41.0;46;0.051924705505371094;0.061057209968566895;0.07223272323608398;330;37;294;213;
house-votes-84-un.csv;11;13.4;16;0.013909339904785156;0.014834308624267578;0.016110658645629883;16;11;435;238;
spect-un.csv;16;17.3;19;0.0039055347442626953;0.0043543815612792965;0.004828453063964844;22;16;250;200;
promoters-un.csv;14;15.2;16;0.022635459899902344;0.02841179370880127;0.034079551696777344;334;14;106;100;
car-un.csv;13;14.2;15;0.23041582107543945;0.2683277130126953;0.295468807220459;21;13;1728;972;
shuttleM-un.csv;68;80.7;98;114.95773243904114;138.41682875156403;176.31111192703247;691;68;14500;3486;
cancer-un.csv;21;24.6;29;0.0849602222442627;0.12203569412231445;0.15933561325073242;89;21;683;277;
backache-un.csv;22;26.7;35;0.05084657669067383;0.05509493350982666;0.06167268753051758;475;22;180;116;
colic-un.csv;26;33.3;38;0.05945301055908203;0.08058867454528809;0.13698935508728027;415;26;368;335;
corral-un.csv;4;5.1;6;0.0017375946044921875;0.0017925500869750977;0.0018525123596191406;6;4;160;16;
irish-un.csv;7;14.5;22;0.12621307373046875;0.15224618911743165;0.25868701934814453;112;7;500;24;
meteo-un.csv;4;4.9;5;3.2901763916015625e-05;3.917217254638672e-05;6.937980651855469e-05;8;4;14;12;
mouse-un.csv;7;10.8;13;0.0007376670837402344;0.0011993169784545899;0.0017540454864501953;45;7;70;16;
hepatitis-un.csv;19;25.2;29;0.013881206512451172;0.015779542922973632;0.01960134506225586;361;19;155;110;
new-thyroid-un.csv;67;79.6;86;0.04723334312438965;0.061693978309631345;0.07084536552429199;334;67;215;179;
mux6-un.csv;6;6.0;6;0.001253366470336914;0.0012944936752319336;0.0013604164123535156;6;6;128;64;
heart-statlog-un.csv;29;37.4;42;0.06343674659729004;0.0836940050125122;0.1093895435333252;381;29;270;221;
haberman-un.csv;49;56.1;60;0.032770395278930664;0.03496532440185547;0.03641843795776367;92;49;300;254;
