Instance;Best Key;Avg Key;Worst Key;Best Time;Avg Time;Worst time;Feat Old;Feat New;Samples Old;Samples New
cleve-un.csv;33;42.2;50;1.5311789512634277;1.5724378108978272;1.6737785339355469;395;33;303;183;
appendicitis-un.csv;21;31.5;59;0.9248979091644287;0.9435260057449341;0.996152400970459;530;21;106;28;
australian-un.csv;59;79.0;113;31.228500366210938;31.56186556816101;32.11624622344971;1163;59;690;469;
hungarian-un.csv;32;40.6;62;1.0031816959381104;1.021225905418396;1.0546927452087402;330;32;294;195;
house-votes-84-un.csv;11;11.6;12;0.00553584098815918;0.0058928728103637695;0.006281852722167969;16;11;435;238;
spect-un.csv;14;14.4;15;0.0049285888671875;0.005177903175354004;0.005478620529174805;22;14;250;190;
promoters-un.csv;10;11.8;13;0.37688207626342773;0.38300337791442873;0.39795780181884766;334;10;106;88;
car-un.csv;13;14.3;15;0.022914886474609375;0.025866055488586427;0.0368959903717041;21;13;1728;972;
shuttleM-un.csv;30;91.5;146;248.00230383872986;252.67547142505646;258.6887991428375;691;30;14500;813;
cancer-un.csv;20;22.8;26;0.18265557289123535;0.18574860095977783;0.19009041786193848;89;20;683;248;
backache-un.csv;19;25.2;31;1.2400321960449219;1.244290280342102;1.247267246246338;475;19;180;82;
colic-un.csv;21;28.0;37;1.957606315612793;1.970585584640503;1.9826834201812744;415;21;368;315;
corral-un.csv;4;4.0;4;0.00029730796813964844;0.0003208160400390625;0.00035643577575683594;6;4;160;16;
irish-un.csv;3;11.8;19;0.20301246643066406;0.20640947818756103;0.21090126037597656;112;3;500;4;
meteo-un.csv;4;4.4;5;6.651878356933594e-05;7.255077362060547e-05;8.296966552734375e-05;8;4;14;12;
mouse-un.csv;7;9.1;11;0.005107879638671875;0.005273127555847168;0.005422830581665039;45;7;70;19;
hepatitis-un.csv;20;24.7;29;0.6247868537902832;0.6267292261123657;0.6288106441497803;361;20;155;83;
new-thyroid-un.csv;54;59.0;66;0.7494547367095947;0.7559460401535034;0.7642092704772949;334;54;215;147;
mux6-un.csv;6;6.0;6;0.00020241737365722656;0.00020654201507568358;0.00021982192993164062;6;6;128;64;
heart-statlog-un.csv;32;40.3;47;1.212242841720581;1.2172680854797364;1.227095127105713;381;32;270;193;
haberman-un.csv;46;48.4;51;0.08698892593383789;0.08922288417816163;0.09137845039367676;92;46;300;242;
