55,0,93,0,10,-18,37,82,46,1
55,0,82,0,-36,3,26,118,92,1
56,0,79,1,0,6,23,79,56,1
56,0,95,0,46,9,40,49,10,1
51,0,77,0,50,-21,26,28,2,0
83,2,86,6,-6,0,4,94,90,1
46,3,76,0,46,7,30,30,0,0
56,-2,96,0,56,3,40,39,0,0
51,-2,79,0,50,-9,28,30,2,0
40,-4,109,0,38,-1,68,70,2,0
45,-2,86,0,44,-1,41,42,2,0
42,0,86,-1,42,-2,44,45,2,0
37,0,79,0,34,-10,42,46,4,0
55,0,79,0,18,-7,23,61,38,1
42,-5,99,0,42,0,57,58,0,0
45,-2,87,0,44,-14,42,43,2,0
50,1,85,-5,50,0,35,36,0,0
49,-3,83,-7,50,0,33,33,0,0
55,0,96,0,52,-5,41,44,4,1
44,-4,78,0,44,0,34,34,0,0
38,0,92,0,20,2,54,71,18,0
55,0,82,0,-40,20,26,123,96,1
37,0,83,0,30,17,46,52,6,0
37,0,79,0,6,-21,43,74,32,0
37,0,80,0,36,1,43,44,0,0
55,0,95,0,38,4,40,57,16,1
65,4,113,0,64,1,48,48,0,0
45,1,86,0,44,-3,40,42,2,0
38,1,81,0,38,8,43,42,0,0
46,2,86,0,46,20,40,39,0,0
37,0,82,0,34,-8,45,48,4,0
55,-1,98,2,52,-13,42,46,4,1
37,0,83,0,28,-29,46,54,8,0
45,1,83,0,44,-1,38,39,2,0
51,-2,84,0,50,-17,33,35,2,0
37,0,78,0,2,-19,41,75,34,0
47,5,88,1,46,0,42,42,0,0
55,0,77,0,44,17,22,34,12,1
48,3,80,0,46,0,32,34,2,0
56,0,78,0,12,15,22,65,42,1
41,0,86,3,42,1,45,45,0,0
54,-5,77,-22,-4,-30,23,82,60,1
46,2,80,0,44,-29,34,36,2,0
56,0,97,4,46,0,41,51,10,1
45,0,76,0,46,29,31,30,0,0
55,-2,98,0,46,7,42,51,8,1
46,0,77,0,44,-20,31,33,2,0
43,-1,80,-4,42,-16,37,39,2,0
45,-2,76,0,46,6,31,30,0,0
44,0,81,0,42,-21,37,39,2,0
37,0,95,0,8,-3,58,87,30,0
101,3,102,0,70,-18,1,32,32,1
43,0,90,0,44,29,47,46,0,0
37,0,103,0,26,1,66,77,12,0
56,0,97,0,52,6,41,45,4,1
62,0,110,3,62,0,48,48,0,0
43,5,85,-2,42,-3,42,44,2,0
48,0,90,0,46,-6,41,43,2,0
55,0,97,4,42,0,41,55,14,1
