97,41,92,197,63,10,179,37,21,140,197,481,136,63,4,3,197,204,opel
102,43,96,197,63,10,185,36,22,142,202,513,139,65,8,12,195,204,opel
95,51,96,196,63,9,190,35,22,161,208,543,235,68,13,0,191,198,opel
103,41,83,194,63,9,175,38,21,142,199,455,138,65,7,30,197,206,opel
91,35,66,159,59,7,147,45,19,131,169,322,123,64,1,1,197,203,opel
100,58,109,230,70,11,226,30,25,182,234,752,207,72,0,13,187,198,opel
86,45,70,122,56,7,148,45,19,144,170,324,186,84,9,5,180,183,bus
89,41,76,183,73,7,157,42,19,136,181,373,153,74,8,12,191,195,bus
96,46,70,194,70,6,167,39,20,148,183,427,171,69,17,10,200,203,bus
90,46,73,137,58,11,161,43,20,158,170,373,186,76,0,9,182,193,van
110,56,109,199,57,5,251,27,27,169,272,928,268,82,11,10,183,183,bus
99,38,74,184,66,6,164,39,20,131,193,414,137,71,2,22,200,202,bus
85,42,66,120,53,7,149,46,19,143,169,321,160,85,10,7,180,182,bus
88,40,69,146,59,7,130,51,18,134,147,252,144,64,1,1,193,200,opel
106,57,107,235,67,6,262,26,28,171,285,987,260,86,9,31,180,184,bus
86,45,71,170,70,6,146,45,19,146,172,321,189,71,10,8,187,191,bus
90,46,75,133,55,11,160,43,20,161,173,369,171,77,0,16,182,192,van
100,43,92,197,62,10,180,36,21,143,200,489,153,64,6,9,195,205,saab
92,41,66,125,52,7,139,50,18,143,160,275,161,81,7,19,182,184,van
89,38,82,156,59,8,153,43,19,129,179,351,137,70,1,1,187,192,saab
92,37,75,184,70,6,154,42,19,131,184,363,127,71,0,4,198,202,bus
83,42,71,152,64,7,149,45,19,142,172,331,158,74,2,2,184,190,bus
93,47,83,165,60,7,167,40,20,147,197,417,201,73,12,4,187,192,opel
106,53,98,192,58,11,217,31,24,166,228,693,191,71,11,24,188,198,opel
108,49,103,200,62,10,206,32,23,155,227,635,215,72,6,16,189,198,saab
96,48,83,177,59,8,171,39,21,152,195,438,196,67,15,0,195,201,opel
93,43,78,162,64,8,137,48,18,145,156,281,159,63,17,12,203,210,van
99,52,104,177,55,10,210,32,24,166,219,657,215,73,3,2,187,194,opel
