 67, 99,  0, 95, 29, 61,100, 36, 87,  0, 43, 21, 70, 60, 83,100,8
  0, 88, 65, 55,100, 16, 45,  0, 43, 40, 90, 77, 68,100,  8, 69,8
 88, 88, 53, 78,100, 40, 91,  0,  0,  1,  5, 39, 57, 76, 18,100,8
 60, 91, 14, 80, 50, 59, 56,  7,  0,  0,  4, 45, 41, 91,100,100,5
 39, 89, 37, 59, 65, 29, 24,  0,  6, 37,  0, 80, 38,100,100, 98,5
 22,100, 66, 50,100, 94, 45, 95,  5, 41, 58,  0, 78, 42,  0, 46,8
 36, 53,100, 82, 55,100,  2, 69, 36, 34, 74,  0,  0, 14, 62, 44,8
 73, 78, 10, 73, 60, 35, 43,  0,  0, 25, 57, 62,100,100, 20, 96,8
 67,100, 18, 81, 44, 39, 35,  0,  0, 28, 53, 57,100, 88, 42, 94,8
 76, 97, 64, 62,100, 15, 14,  0,  0, 35, 90, 59, 98,100,  0, 98,8
 57, 96,100,100, 81, 95, 40, 85, 30, 60, 57, 32, 40,  3,  0,  0,5
 44, 77, 19, 50, 39, 19,  0,  0,  8, 31, 19, 66, 57, 87,100,100,5
 23, 96, 27, 54, 64, 35, 33,  0, 12, 42,  0, 93, 50, 96,100,100,5
  0, 90,  3, 56, 51, 31, 43,  0, 15, 22,  9, 63, 38, 93,100,100,5
  0, 79, 38,100,100, 94, 93, 66, 55, 41,  9, 19, 18,  0, 89,  2,2
  0, 68, 34,100, 74, 88, 56, 40, 17, 10, 10, 23, 55, 12,100,  0,2
 55, 77,  3,100, 39, 57,100, 16,  0,  0, 26, 38, 97, 77, 23, 78,8
100,100, 62, 89, 23, 61,  0, 29, 20,  0, 91,  7, 84, 33, 11, 31,6
 14, 78, 45,100, 62, 71, 34, 39,  0, 14, 15,  8, 58,  8,100,  0,2
 67, 66, 56,100, 10, 74, 59, 38, 70,  0,  0, 15, 29, 54,100, 82,8
 75, 75, 36,100,  6, 68, 62, 35,100,  0,  0,  6, 31, 41, 93, 74,8
100, 83, 97,100, 46, 94, 46, 67, 83, 42, 99, 11, 51,  0,  0,  3,5
 15, 79, 43,100, 51, 68, 29, 31,  0,  2, 30,  7, 65,  0,100,  1,2
 49,100, 54, 67, 95, 32, 47,  0,  4, 11,  0, 58, 31, 94,100, 94,5
  0, 66, 20,100, 51, 93, 50, 51, 33, 13, 25,  0, 62,  8,100,  7,2
  5, 55, 79, 87,  5,100, 38, 53, 67,  6,  0,  0, 27, 47,100, 84,8
 88, 59,100,100, 16, 85, 42, 45, 82,  8,  0,  0, 32, 40, 89, 77,8
 33, 78, 67,100, 68, 67, 36, 40,  0, 17, 27,  1, 72,  0,100,  2,2
 59, 82, 11, 67,100, 65, 54,100, 40, 48,  0, 22, 60,  0, 43, 52,8
100,100, 66, 80, 41, 56, 23, 29, 18,  0, 54,  0, 38, 18,  0, 12,6
  0, 85, 30,100, 48, 73, 33, 40,  9, 13, 24,  0, 65,  4,100, 10,2
  0, 74, 27,100, 54, 77, 37, 42,  5, 14,  2, 17, 51,  9,100,  0,2
  0, 89, 36,100, 56, 72, 38, 40,  8, 13,  1,  0, 51,  1,100,  0,2
  0, 34, 43, 67, 74,100, 68, 54, 59,  9,  5,  1, 32,  0,100,  3,1
 16, 68,  0, 40, 26,  0, 73, 10,100, 50, 82, 93, 32,100,  1, 73,0
  0, 64, 57, 78, 86,100, 91, 93, 88, 70, 87, 46, 86, 23,100,  0,1
 14, 86, 50,100, 73, 80, 39, 53,  0, 28,  0,  4, 58,  1,100,  0,2
100, 84, 55, 99,  4, 72, 49, 33, 43,  0,  0, 28, 41, 69, 97,100,8
  0, 69, 42, 87,100,100, 75, 79, 50, 59, 25, 39, 17, 19, 67,  0,1
  0, 56, 44, 88, 67,100, 68, 54, 70,  7, 11,  1, 37,  0,100,  3,1
  0, 26, 57, 56, 98, 94, 31,100, 45, 63,100, 31, 78,  0,  9, 16,8
  0, 60,  9, 71, 45,100, 35, 64, 38, 28,  7,  0, 21,  1,100,  4,1
 32,100, 17, 75, 87, 41, 64,  0, 12, 20, 79, 55,100, 96,  0, 96,8
 32, 96,  0, 67, 61, 58, 74, 14, 24,  0, 20, 50, 38, 91,100,100,5
 39, 94,  0, 63, 66, 44, 70,  1, 10,  0, 15, 52, 29, 99,100,100,5
  3, 85, 38,100, 59, 78, 45, 48, 22, 21,  0,  0, 52,  0,100,  1,2
100,100, 46, 91, 14, 64,  0, 32,  8,  0, 62,  0, 55, 27,  6, 27,6
 37,100,  0, 60, 94, 94,  3, 89, 29, 54,  0,  0,100, 28,  8, 38,8
  0, 71, 52,100,100, 75, 53, 37, 13,  0, 82,  7, 34, 44, 16, 83,8
 17, 96,  0, 63,  6, 20, 50,  0, 95, 22,100, 64, 71,100, 25, 86,0
  0,  4, 74, 29,100, 62, 88, 95, 74,100, 74, 67, 74, 33, 76,  0,1
 60,100, 14, 67,100, 55, 80, 98, 39, 56,  0, 13, 80,  0, 50, 45,8
 17, 37, 24,  0, 73, 14,100, 50, 89, 90, 43,100, 11, 66,  0, 25,0
 19, 73, 12, 61, 77, 36, 57,  0,  9, 19,  0, 59, 12, 94,100,100,5
 57, 87,  0,100, 17, 63,100, 28, 94,  0, 20, 34, 89, 71, 37, 87,8
 59, 94, 20, 66, 58, 46, 50,  2,  0,  0, 21, 49, 49, 96,100,100,5
 58, 96, 17, 64,  0, 26, 29,  0, 75, 27,100, 65, 83,100, 33, 79,0
 37, 90,  4, 97, 35, 57,100, 22, 49,  0,  0, 33, 54, 72, 35,100,8
 51,100, 16, 73,  0, 27, 28,  0, 70, 15,100, 51, 83, 89, 40, 95,0
  9, 68, 29,100, 65, 91, 45, 58, 13, 31,  0,  6, 51,  6,100,  0,2
 50,100, 28, 70, 79, 38, 65,  0,  0,  5, 20, 45, 37, 85,100, 96,5
  2, 97, 13, 59, 44, 34, 15,  0,  6, 43,  0, 86, 49, 98,100,100,5
  0, 51, 33, 75, 68,100, 51, 85, 53, 59, 58, 33, 65,  7,100,  0,1
 27,100,  0, 74, 60, 43,100,  3, 34,  0, 29, 44, 74, 81, 10, 58,8
 97,100, 57, 82, 24, 51,  0, 20, 32,  0,100, 12, 91, 42, 25, 56,6
100,100, 45, 85,  9, 58,  0, 23, 44,  0, 99, 11, 84, 40, 26, 47,6
 28, 87,  1, 56, 76, 75, 67, 28,  1,  0,  0, 46, 18, 94,100,100,5
 35, 97, 35, 61, 44, 19,  0,  0, 23, 38, 61, 68,100, 99, 51,100,8
  0, 54, 40, 67, 78, 88,100,100, 82, 74, 69, 49, 58, 24, 40,  0,1
 73,100, 31, 79,  4, 48,  0, 15, 49,  0,100, 14, 66, 33, 10, 28,6
  7, 90, 57,100, 86, 81, 46, 62, 92, 45,100, 18, 58,  0,  0,  0,3
 39, 76, 68,100, 49, 61, 40, 21, 19,  0,  0,  4, 50,  6,100,  5,1
100,100, 38, 87, 25, 72, 19, 58, 12, 43,  6, 28,  0, 14,  6,  0,1
 33, 65, 68,100, 73, 89, 56, 40, 37,  0,  0,  8, 50,  5,100,  6,1
  0, 53, 45, 68, 80, 90,100,100, 98, 75, 98, 50, 95, 25, 93,  0,1
 33, 65, 81, 88,100,100, 88, 70, 74, 41, 52, 13,  0,  0, 81,  1,1
 13,100, 20, 71, 59, 39, 44,  0,  0, 16,  7, 61, 42, 93,100, 97,5
  8, 85, 46,100, 58, 73, 36, 42,  5, 15,  0,  0, 50,  0,100,  2,2
  1, 90, 47,100, 74, 83, 53, 57, 67, 32,100, 12, 51,  1,  0,  0,3
 23, 78, 26,100, 62, 85, 34, 55,  0, 27,  1,  0, 51,  0,100,  7,2
