1,0,23,38,14,2,4,0,0,2,1,3,0,2,24,2,1,23,70,0,44,1,0
2,0,30,49,7,0,0,5,1,4,1,4,0,2,24,1,5,28,79,2,11,2,0
1,0,21,23,11,3,3,6,1,4,3,2,0,2,24,4,4,9,34,0,44,3,0
2,1,29,17,35,1,3,3,0,3,1,3,1,0,9,2,0,26,49,3,36,1,1
1,0,11,1,18,0,0,3,0,0,0,0,0,2,24,0,0,52,51,0,44,1,0
1,0,40,54,40,4,3,6,1,3,3,4,3,3,24,2,3,54,84,0,44,3,0
2,0,17,28,5,3,3,4,1,4,3,1,1,3,24,2,1,13,47,0,44,3,1
2,0,40,35,40,2,0,0,1,0,1,4,3,3,24,2,2,22,69,0,44,1,1
1,0,40,45,19,2,1,6,1,5,1,3,3,3,24,2,1,15,29,0,44,2,1
1,1,21,50,40,3,0,4,1,2,3,2,3,3,24,2,0,18,29,1,13,3,0
2,0,19,38,1,2,4,2,1,4,3,2,3,3,3,3,1,22,27,2,24,3,1
1,0,29,41,26,4,0,1,1,3,2,4,1,3,24,1,2,28,55,0,44,3,1
2,0,10,24,1,4,3,4,1,4,3,1,2,3,24,1,1,54,47,0,44,3,0
1,1,18,51,14,3,3,1,1,1,3,4,2,2,20,4,4,13,28,1,44,1,0
2,0,20,43,14,2,3,4,1,4,1,2,3,0,24,1,2,24,77,1,11,3,1
2,0,14,52,23,2,3,5,1,2,3,1,3,1,8,1,0,23,35,0,44,1,1
2,1,40,8,19,2,4,5,0,5,1,1,2,2,24,1,1,31,55,3,32,1,0
1,0,13,28,11,0,0,0,2,0,0,0,0,2,24,0,0,54,84,0,44,3,0
2,0,14,36,8,3,3,1,1,3,3,2,1,3,24,3,1,18,47,1,44,3,1
1,0,32,3,18,1,4,3,2,0,3,1,0,2,24,0,0,33,73,0,44,3,0
2,0,36,41,28,3,3,2,0,2,1,3,2,3,24,1,2,24,28,2,44,3,1
1,0,22,28,5,3,0,4,1,1,3,2,3,1,12,1,3,27,35,0,44,3,0
2,0,24,24,17,4,3,5,2,3,3,2,0,2,24,4,0,26,49,0,44,3,1
2,1,21,10,28,0,4,0,1,3,1,0,0,2,24,0,0,28,57,0,44,3,1
2,0,19,35,1,2,4,6,1,0,1,1,2,0,2,0,0,29,42,0,44,3,1
1,0,16,35,21,0,0,0,1,0,0,0,0,2,24,0,0,54,84,0,44,3,0
2,0,21,41,15,1,4,6,0,4,3,1,3,3,24,2,1,21,47,2,26,3,1
2,0,16,28,1,2,3,4,1,0,3,4,1,3,24,4,3,13,14,2,4,3,0
2,0,40,54,40,0,0,0,2,0,0,0,0,2,24,0,0,54,84,0,44,1,0
1,0,15,28,40,4,3,4,1,1,2,2,1,3,24,0,0,23,63,0,44,3,0
1,0,15,52,15,2,4,5,0,2,1,3,2,0,5,1,1,44,52,0,44,1,1
1,0,10,2,1,2,4,5,0,3,1,4,0,1,16,2,3,30,68,3,42,2,1
2,0,10,35,40,4,3,4,1,4,3,1,3,3,24,1,1,21,33,0,44,3,1
2,0,20,36,14,3,3,4,1,4,2,0,0,2,24,1,2,27,72,2,40,3,1
2,0,40,0,15,2,4,5,0,2,1,3,2,1,24,1,2,30,33,0,44,3,1
1,0,40,1,11,1,4,6,0,5,1,1,0,1,24,0,5,51,70,0,44,2,1
1,0,21,4,5,0,4,2,0,0,0,2,1,0,24,0,1,29,27,2,2,2,0
2,0,16,41,40,0,4,0,1,2,3,2,0,3,24,4,4,34,76,1,11,3,1
1,0,24,31,40,3,3,4,1,4,3,4,1,3,24,4,3,8,33,1,34,3,0
2,1,30,14,39,0,0,0,2,0,0,0,0,2,24,0,0,54,84,0,44,1,1
2,0,40,49,40,2,4,3,0,2,3,1,1,1,24,1,1,41,32,3,44,1,1
1,1,28,15,32,0,0,0,2,0,0,0,0,2,24,0,0,25,71,0,0,3,1
1,0,18,35,1,2,3,6,1,4,3,2,1,3,24,3,5,25,47,0,44,3,0
2,0,40,6,40,2,1,5,1,5,1,3,1,3,24,0,1,30,44,2,11,2,1
2,0,0,13,11,2,4,5,0,5,1,0,3,3,24,0,1,35,46,3,11,2,1
1,0,40,6,40,1,4,5,0,2,1,3,1,3,24,1,1,39,32,3,44,1,1
2,0,17,35,4,2,0,5,0,2,1,3,3,0,24,1,1,43,52,0,44,3,1
1,0,13,28,5,3,3,4,1,1,2,2,1,3,24,4,0,13,32,0,44,3,0
2,0,27,45,22,2,4,6,0,3,3,1,3,0,19,2,4,32,32,3,44,1,1
1,0,10,47,23,2,4,2,0,5,2,4,1,0,24,3,4,51,14,2,27,1,0
1,0,24,27,40,3,3,1,1,1,3,4,1,3,24,0,5,27,83,1,7,3,0
2,0,12,47,19,3,0,6,0,4,3,4,0,2,24,1,1,54,84,3,44,1,1
1,0,40,54,40,3,3,6,1,1,3,2,0,2,24,3,5,21,54,0,44,3,0
