4.675,1.7703,0,0,2,0,0,33.3,0,0,4,0,3.343,0,9.971,0,0.967,1.141,0,0,0,1.185,2,0,0,0,2.236,0.001,0,0,2.829,0,0,4,1,3.269,1.551,1,7.764,0,0,1
4.645,1.7575,1,0,0,0,3,45.7,0,3,0,0,4.173,0,10.642,12,0.993,1.107,0,0,0,1.297,3,0,0,0,2.236,0,0,0,3.604,0,0,0,0,3.957,2.043,0,9.309,0,0,1
4.679,3.1788,0,0,0,0,2,44.4,0,2,0,0,3.233,1.261,9.715,4,1.011,1.116,0,0,0,1.246,1,0,0,0,2.222,0.014,0,10.219,1.695,0,1,0,0,3.67,2.583,0,8.192,0,0,1
4.863,2.4397,1,0,0,0,3,54.5,0,0,0,0,4.043,0.569,10.135,0,0.984,1.087,0,0,0,1.381,2,1,0,0,2.3,0.001,1,0,2.241,0,1,0,0,6.879,1.981,0,11.612,0,1,1
4.481,2.7716,0,0,0,0,0,33.3,0,2,0,-0.065,2.566,0.929,9.053,1,1.047,1.139,0,0,0,1.127,1,0,0,0,2.136,-0.239,0,9.677,0.964,0,0,0,0,3.454,3.033,0,7.487,0,0,1
4.414,3.0463,0,0,0,0,0,38.5,1,2,0,0,2.895,1.203,9.209,1,1.023,1.128,0,0,0,1.241,1,0,0,0,2.152,-0.083,0,0,1.496,0,0,0,1,3.637,2.667,0,7.872,0,0,1
4.303,2.6696,0,0,0,0,0,33.3,0,2,0,-0.046,2.709,0.862,9.067,2,1.025,1.139,0,0,0,1.166,1,0,0,0,2.115,0.137,0,10.021,0.956,0,0,0,0,3.416,2.778,0,7.481,0,0,1
4.875,2.757,0,0,0,0,0,35.3,1,3,0,-0.444,3.12,1.233,9.856,6,1.03,1.135,0,0,0,1.19,1,0,0,0,2.288,-0.026,0,21.128,1.585,1,0,0,0,3.588,3.019,0,8.043,0,0,1
4.414,2.9065,0,0,0,0,0,30.8,1,3,0,-0.549,2.875,0.917,9.459,3,1.049,1.144,0,0,0,1.119,1,0,0,0,2.199,-0.085,0,10.009,1.101,0,0,0,0,3.512,2.929,0,7.713,0,0,1
4.882,3.3902,0,0,0,0,0,41.2,0,4,1,-2.476,3.459,1.258,10.136,4,1.069,1.127,0,0,0,1.179,1,0,0,0,2.288,0.005,0,20.641,2.011,0,0,4,2,3.785,3.472,1,8.553,0,0,1
4.17,3.1898,0,0,0,0,0,20,1,2,0,-0.968,2.533,0.971,8.597,0,1.052,1.175,0,0,0,1.032,0,0,0,0,1.848,0.441,0,9.243,1.542,0,0,1,3,3.326,4.033,1,7.273,0,0,1
4.414,2.9195,0,0,0,0,0,27.3,0,2,0,-0.657,2.915,0.917,9.459,3,1.067,1.166,0,0,0,1.127,1,0,0,0,2.199,-0.087,0,20.069,1.101,0,0,2,2,3.556,3.405,2,7.873,0,0,1
5.076,3.5506,0,0,1,0,0,38.1,2,3,2,0,3.418,1.258,10.189,7,1.029,1.133,0,0,0,1.204,1,0,0,0,2.352,0.004,0,10.46,1.244,0,1,3,2,3.821,3.014,1,8.441,0,0,1
4.655,3.6465,0,0,2,0,0,25,0,3,2,-1.641,3.198,1.761,9.723,3,1.036,1.164,0,0,0,1.1,0,0,0,0,2.107,-0.028,0,20.135,2.989,0,0,3,5,3.445,3.567,2,8.044,0,0,1
3.414,2.4441,1,0,0,0,0,33.3,1,0,0,0,2.631,1,7.408,0,0.997,1.132,0,0,0,1.291,0,0,1,0,1.618,-0.575,0,0,1.707,0,0,0,0,3.567,2.653,0,7.775,0,1,1
4.303,3.0634,0,0,0,0,0,21.4,2,3,0,0,2.648,1.459,8.815,2,1.037,1.164,0,0,0,0.995,0,0,0,0,1.932,-0.253,0,0,1.745,0,0,0,3,3.102,3.722,0,6.978,0,0,1
4.303,3.0468,1,0,0,0,0,23.1,2,2,0,0,2.913,1.459,8.815,1,1.039,1.156,0,0,0,1.09,0,0,1,0,1.932,-0.244,0,0,1.745,0,0,0,2,3.579,3.407,0,7.899,0,1,1
