3.919,2.6909,0,0,0,0,0,31.4,2,0,0,0,3.106,2.55,9.002,0,0.96,1.142,0,0,0,1.201,0,0,0,0,1.932,0.011,0,0,4.489,0,0,0,0,2.949,1.591,0,7.253,0,0,1
4.17,2.1144,0,0,0,0,0,30.8,1,1,0,0,2.461,1.393,8.723,1,0.989,1.144,0,0,0,1.104,1,0,0,0,2.214,-0.204,0,0,1.542,0,0,0,0,3.315,1.967,0,7.257,0,0,1
3.932,3.2512,0,0,0,0,0,26.7,2,4,0,0,3.279,2.585,9.11,0,1.009,1.152,0,0,0,1.092,0,0,0,0,1.942,-0.008,0,0,4.891,0,0,0,1,3.076,2.417,0,7.601,0,0,1
3,2.7098,0,0,0,0,0,20,0,2,0,0,2.1,0.918,6.594,0,1.108,1.167,0,0,0,1.024,0,0,0,0,1.414,1.073,0,8.361,1.333,0,0,0,1,3.046,5,0,6.69,0,0,1
4.236,3.3944,0,0,0,0,0,29.4,2,4,0,-0.271,3.449,2.753,9.528,2,1.004,1.147,0,0,0,1.137,0,0,0,0,1.985,-0.002,0,10.348,5.588,0,0,0,0,3.351,2.405,0,8.003,0,0,1
4.236,3.4286,0,0,0,0,0,28.6,2,4,0,-0.275,3.313,2.522,9.383,1,1.014,1.149,0,0,0,1.119,0,0,0,0,1.98,-0.008,0,10.276,4.746,0,0,0,0,3.351,2.556,0,7.904,0,0,1
5,5.0476,1,0,0,0,0,11.1,0,3,0,0,2.872,0.722,9.657,0,1.092,1.153,0,0,0,1.125,0,0,0,0,2,0.446,0,18.375,0.8,0,0,0,1,4.712,4.583,0,9.303,0,0,1
4.525,3.8301,0,0,0,0,0,31.6,3,2,0,-0.039,3.418,2.468,9.786,5,0.98,1.142,0,0,0,1.179,0,0,0,0,2.119,-0.002,0,11.115,3.889,0,0,0,0,3.379,2.143,0,7.95,0,0,1
4.596,3.0777,0,0,0,0,2,44.4,2,0,0,0,2.97,0.875,9.54,0,0.968,1.115,0,0,0,1.328,1,0,0,0,2.175,0.041,0,0,1.069,0,0,0,0,3.626,1.917,0,7.939,0,0,1
5.04,3.6112,0,0,1,0,2,41.2,0,4,3,-1.29,3.483,1.258,10.159,8,1.069,1.127,0,1,0,1.199,1,0,0,0,2.323,0.005,0,30.959,1.711,0,1,2,1,3.888,3.5,1,8.706,0,0,1
4.91,2.7414,0,0,0,0,2,52.9,0,2,0,-0.302,3.364,0.629,10.06,5,1.018,1.098,0,0,0,1.279,3,0,0,0,2.333,0.004,0,10.717,1.207,0,1,0,0,3.767,2.5,0,8.427,0,0,1
