109,0,1,7,9,0,5,8,6,0,0,0,0,29,0,0,12,0,0,1,2,2,0,0,2,0,3,0,0,11,0,2,0,0,0,1,0,1,0,2,0,0,0,4,2,0,0,0,0,0,3,0,11,0,0,0,0,1,18,objective
309,21,4,1,19,1,4,35,23,0,0,0,2,93,1,0,17,0,0,7,5,16,0,0,0,1,3,0,0,13,7,13,9,14,0,0,0,3,0,8,7,0,0,19,3,0,5,0,1,0,10,0,13,0,14,9,1,1,14,objective
149,6,1,8,14,0,5,15,11,0,0,0,0,47,1,0,4,0,0,4,0,7,0,0,1,0,4,0,0,8,2,2,2,3,0,0,0,2,0,4,0,0,0,6,3,0,0,0,0,0,2,0,8,0,3,2,1,1,18,objective
305,18,5,7,26,0,10,37,21,1,1,0,0,83,2,0,18,0,0,6,2,9,1,0,1,2,9,0,1,13,12,6,1,7,1,1,0,1,0,5,3,0,0,13,17,0,0,0,0,0,8,3,13,1,7,1,1,1,20,objective
491,23,8,33,47,0,12,61,36,0,1,0,2,142,1,0,15,0,0,7,9,10,1,0,1,0,13,0,1,34,5,6,6,5,0,3,0,1,0,7,4,0,0,18,17,0,0,0,0,0,16,2,34,1,5,6,1,1,24,objective
314,14,1,17,17,0,0,36,15,2,1,0,0,88,1,0,20,1,0,10,6,8,0,0,1,0,4,0,0,24,13,2,1,5,3,3,0,0,0,11,6,1,0,14,16,0,0,0,0,0,16,3,24,0,5,1,1,1,18,objective
314,10,6,1,37,1,10,33,20,0,0,0,0,112,3,0,19,0,0,4,2,3,0,0,0,0,3,0,0,13,5,7,3,1,2,2,0,0,0,4,2,0,0,8,8,0,8,0,3,0,3,0,13,0,1,3,1,1,31,objective
462,19,6,5,47,0,0,40,39,0,1,0,9,101,1,0,31,0,0,20,7,16,0,0,1,3,11,0,3,21,16,8,10,16,1,2,0,3,0,16,9,0,0,24,17,0,0,0,2,2,13,1,21,3,16,10,1,1,17,objective
808,40,11,49,71,1,6,94,44,2,1,0,0,162,7,0,56,0,0,23,10,34,0,0,10,8,20,0,3,59,23,7,4,12,2,6,0,7,0,23,10,0,0,45,43,0,0,0,1,2,18,3,59,3,12,4,1,1,17,objective
860,44,22,13,111,0,4,101,56,3,2,0,2,196,2,0,58,0,0,15,15,35,4,1,11,0,28,0,3,73,17,9,6,8,1,5,2,1,0,30,0,0,0,33,28,0,0,0,0,0,25,10,73,3,8,6,1,1,24,objective
497,25,9,15,44,0,19,64,22,2,1,0,1,137,11,0,21,0,0,11,8,25,0,0,6,4,11,0,3,32,9,8,4,4,1,1,0,1,0,11,6,0,0,27,11,0,0,0,0,2,8,3,32,3,4,4,1,1,17,objective
106,4,0,1,4,0,9,7,7,0,0,0,2,32,0,0,5,0,0,6,3,2,0,0,0,0,5,0,0,3,0,2,2,4,0,0,0,1,0,2,4,0,0,8,2,0,0,0,0,0,7,0,3,0,4,2,1,1,10,objective
792,57,22,28,93,0,26,121,62,4,3,0,7,196,4,0,55,0,0,9,12,27,0,0,4,0,21,0,1,32,16,7,2,6,0,0,0,2,0,14,0,0,0,32,7,0,0,0,0,0,16,7,32,1,6,2,1,1,23,objective
246,11,2,6,27,0,12,30,23,0,2,0,0,59,0,0,9,0,0,6,3,7,0,0,0,3,5,0,0,20,3,4,3,2,0,2,0,2,0,5,4,0,0,20,8,0,0,0,0,0,7,2,20,0,2,3,1,1,10,objective
614,30,10,21,68,1,13,90,38,4,0,0,3,147,5,0,28,0,0,8,13,29,1,0,4,0,10,0,1,42,9,17,4,8,1,2,0,0,0,18,3,0,0,28,18,1,1,0,0,0,19,5,42,1,8,4,1,1,20,objective
143,16,1,2,20,0,0,13,12,0,1,0,4,41,0,0,10,0,0,0,0,7,0,0,1,0,6,0,3,5,2,3,1,1,0,0,0,0,0,3,0,0,0,8,4,0,0,0,0,0,0,1,5,3,1,1,1,1,14,objective
246,12,2,3,20,0,4,21,11,2,2,0,0,58,1,0,7,0,4,11,6,12,1,0,0,0,8,0,2,13,8,6,3,9,2,1,0,0,0,5,1,0,0,10,13,0,0,0,0,0,14,5,13,2,9,3,1,1,27,objective
293,7,6,8,29,0,24,27,18,0,0,0,4,63,0,0,20,0,1,3,4,6,0,0,2,0,12,0,1,5,4,9,6,3,0,0,0,0,0,13,0,0,0,15,10,0,0,0,5,0,0,0,5,1,3,6,1,1,26,objective
1367,67,28,26,111,2,20,140,72,2,9,0,17,206,9,0,70,1,15,69,29,77,3,0,5,1,31,0,12,49,34,28,40,40,3,14,0,8,0,43,0,1,0,56,78,2,2,0,17,9,38,14,49,12,40,40,1,1,34,objective
845,46,24,47,89,0,5,77,60,0,3,0,3,186,6,0,60,1,0,21,18,27,2,1,10,8,12,0,5,51,26,7,15,10,1,7,1,0,0,31,10,1,0,47,35,0,4,0,13,0,22,6,51,5,10,15,1,1,17,objective
112,6,1,7,10,0,0,17,9,0,1,0,2,33,2,0,9,0,0,1,1,2,0,0,0,0,0,0,0,6,1,1,1,0,0,1,0,0,0,4,0,0,0,7,2,0,0,0,0,0,2,1,6,0,0,1,1,1,12,objective
