2,0,40,4,2,1,1,5,1,3,3,2,3,3,8,1,2,39,30,3,44,3,1
2,0,15,38,1,3,3,6,1,4,3,4,3,2,24,1,2,7,29,2,7,3,1
2,0,26,30,3,3,3,4,1,4,2,2,1,3,24,2,1,15,25,0,44,3,1
1,0,22,32,11,3,3,4,1,1,3,2,3,3,24,2,5,27,49,1,43,3,0
2,0,30,6,7,1,4,2,0,3,3,1,1,1,24,0,2,39,74,3,44,1,1
2,1,40,54,40,0,0,0,2,0,0,0,0,2,24,0,0,23,32,2,44,3,1
2,0,11,50,20,2,0,3,0,2,1,1,3,0,24,4,1,43,18,3,11,2,1
2,1,23,6,31,0,0,0,2,0,2,0,3,2,24,4,0,11,21,1,2,3,1
2,0,23,1,20,2,4,0,1,5,3,3,0,2,24,0,0,54,84,0,44,3,1
1,0,33,51,14,2,4,3,1,2,1,2,0,1,24,1,0,50,31,0,24,1,0
2,0,23,19,6,0,0,0,2,0,0,0,0,2,24,0,0,18,54,0,44,3,1
2,0,21,41,15,1,4,6,0,4,3,1,3,3,24,2,1,21,47,2,26,3,1
1,0,13,28,15,1,3,6,1,0,4,2,1,3,24,4,4,26,72,0,44,3,0
2,0,19,31,11,3,3,2,1,5,3,2,3,1,19,4,0,32,52,2,16,1,1
1,0,20,24,13,3,3,4,1,4,2,4,0,2,24,4,0,12,36,0,44,3,0
1,0,17,32,21,4,3,2,1,4,2,2,0,3,24,0,5,25,21,3,2,3,0
1,0,2,49,40,2,4,6,1,4,3,4,3,1,24,0,2,23,47,3,33,2,1
2,0,19,40,9,0,3,0,1,2,3,0,0,2,24,0,1,12,42,0,44,2,1
2,0,18,50,15,1,4,5,0,2,1,3,0,2,24,1,1,33,28,0,44,1,1
2,0,20,31,5,3,3,1,1,1,4,2,1,3,24,4,0,21,67,0,44,3,0
2,0,40,21,16,3,3,5,1,2,3,1,3,1,5,0,2,19,17,0,44,1,1
2,0,22,51,7,3,0,0,0,0,3,1,0,2,24,4,0,54,84,0,44,3,1
2,1,20,7,36,3,4,1,1,3,3,3,0,2,24,0,0,25,66,1,44,3,1
1,0,40,52,40,2,4,6,0,2,1,3,0,3,24,1,1,39,84,0,44,1,1
2,0,14,39,16,2,0,6,1,5,4,3,3,0,18,4,1,25,49,1,44,3,1
2,0,19,49,11,2,4,5,1,2,1,1,3,3,24,2,2,19,8,0,44,1,1
2,0,18,2,28,4,4,5,1,5,3,1,3,2,24,2,2,54,84,3,44,3,1
1,0,20,28,40,4,0,4,0,4,3,2,3,3,24,0,5,10,33,0,44,3,0
2,0,31,0,25,1,1,3,1,3,1,2,1,1,2,0,2,44,2,3,11,2,1
1,0,5,24,6,2,4,1,1,1,1,2,1,3,24,0,1,30,48,0,44,1,1
2,1,26,7,19,2,3,1,1,3,3,3,1,3,24,1,2,28,53,3,44,1,1
