98,39,68,121,49,7,134,51,18,142,164,261,134,75,4,1,186,186,van
89,47,83,322,133,48,158,43,20,163,229,364,176,97,0,14,184,194,van
86,48,75,136,58,10,161,43,20,163,170,371,185,75,3,1,183,192,van
87,42,64,150,64,10,133,50,18,142,157,264,159,67,7,1,193,201,van
91,42,80,162,66,8,148,44,19,145,171,331,147,70,3,5,189,199,van
100,46,85,164,64,11,163,42,20,163,176,387,170,71,18,0,189,196,van
93,36,64,165,69,8,136,49,18,136,161,279,127,67,2,29,193,204,van
89,40,79,154,64,9,144,46,19,139,168,311,149,71,8,7,188,197,van
93,42,70,131,56,7,127,53,18,145,156,240,152,74,5,4,189,190,van
82,45,68,139,64,6,147,46,19,143,169,320,184,80,0,1,181,184,bus
98,38,70,125,52,8,130,53,18,139,157,243,132,74,0,13,186,185,van
106,54,103,161,47,4,247,27,27,166,266,892,242,85,4,11,181,183,bus
94,45,81,166,67,9,145,46,19,147,164,313,179,66,11,14,194,202,van
96,49,98,187,59,6,213,31,24,152,228,680,210,77,8,28,188,189,bus
93,48,84,150,63,11,156,44,20,165,171,354,188,73,8,15,185,195,van
88,40,78,186,73,6,158,41,20,134,185,379,148,73,1,11,193,197,bus
89,44,72,160,66,7,144,46,19,147,166,312,169,69,11,1,191,198,bus
93,37,73,174,68,7,151,43,19,131,175,347,135,68,1,22,196,205,bus
89,44,70,137,58,6,136,49,18,146,168,273,166,78,10,3,186,187,van
91,42,66,169,66,7,145,44,19,140,169,325,159,67,4,0,201,207,bus
100,41,75,205,71,5,176,36,21,138,204,479,151,72,7,19,197,197,bus
91,42,81,193,69,5,169,38,20,137,184,434,156,68,3,23,198,204,bus
90,36,78,179,64,8,157,42,19,126,182,367,142,66,1,20,192,198,opel
97,48,94,198,63,9,181,36,21,155,200,494,189,64,20,11,199,203,opel
87,40,81,162,68,10,146,46,19,139,167,317,157,70,0,13,189,199,van
107,55,98,199,59,7,240,27,26,168,258,866,245,80,3,1,186,184,bus
86,43,66,130,56,7,152,44,19,142,177,340,173,81,6,14,181,185,bus
82,44,72,150,64,7,154,44,19,144,181,350,177,80,0,16,183,187,bus
81,46,71,130,56,7,153,44,19,149,172,342,191,81,3,14,180,186,bus
82,44,72,136,61,7,147,46,19,143,173,317,183,81,6,17,181,185,bus
93,47,85,163,66,11,156,44,20,158,172,355,178,74,7,15,183,195,van
90,36,74,171,60,8,157,42,19,128,177,367,123,61,6,21,197,204,saab
111,54,103,171,50,11,221,30,25,172,227,727,201,69,15,6,190,198,opel
103,55,100,194,62,11,212,31,24,175,217,666,219,73,10,14,187,194,opel
89,40,58,137,58,7,122,54,17,140,146,225,150,63,7,4,199,206,van
87,47,81,149,62,9,147,45,19,152,171,325,181,72,0,6,188,198,van
92,46,79,176,64,8,162,41,20,149,183,396,178,67,2,10,191,198,opel
85,42,64,121,55,7,149,46,19,146,167,323,172,85,1,6,179,182,bus
86,46,70,149,65,8,149,45,19,146,170,331,185,77,6,6,183,188,bus
101,56,100,168,55,11,214,31,24,175,219,681,224,74,2,3,185,192,opel
94,39,89,194,62,9,172,38,21,135,191,444,121,63,4,23,201,209,opel
86,37,69,150,63,8,138,48,18,134,163,284,124,71,1,6,189,195,van
90,41,71,169,68,7,150,44,19,138,175,336,157,71,3,18,192,197,bus
104,49,89,168,54,4,212,31,24,153,238,682,198,78,1,23,190,189,bus
89,36,72,141,56,7,138,48,18,126,163,286,130,72,1,1,187,192,opel
90,39,86,169,62,7,162,41,20,131,194,388,147,74,1,22,185,191,opel
84,44,77,150,59,5,152,44,19,143,175,344,177,77,8,2,183,187,saab
104,57,103,216,69,11,219,30,25,176,228,708,219,73,4,3,186,196,opel
83,44,68,144,61,8,147,45,19,143,170,325,180,74,1,1,185,191,bus
85,39,57,126,56,6,114,58,17,135,134,195,145,64,17,7,197,202,van
99,55,101,206,62,13,222,30,25,180,225,722,213,71,2,3,186,196,opel
88,44,85,139,56,11,157,43,20,155,176,363,175,76,5,16,184,195,van
100,50,81,197,67,6,186,34,22,158,206,531,198,74,6,1,197,198,bus
81,44,72,139,60,6,153,44,19,146,180,347,178,81,1,15,182,186,bus
86,41,66,133,56,6,136,49,18,136,155,274,162,74,5,14,183,189,saab
93,41,79,159,63,8,144,46,19,150,165,309,134,67,4,9,195,203,van
107,54,98,210,66,11,218,31,24,169,221,704,216,71,14,0,188,197,saab
94,35,66,147,62,9,131,50,18,127,159,258,115,66,8,7,196,201,van
105,54,106,215,68,10,208,32,24,166,217,640,218,69,14,23,189,199,saab
86,41,64,148,61,5,150,45,19,138,165,333,173,80,5,8,182,185,saab
85,35,47,110,55,3,117,57,17,122,136,203,139,89,5,9,180,184,van
85,33,40,115,57,3,112,61,17,119,130,184,127,86,12,21,181,183,saab
81,44,68,120,53,6,151,45,19,147,170,333,178,86,4,5,179,183,bus
100,52,104,189,59,10,208,32,24,163,220,642,197,70,1,22,187,198,saab
93,42,64,158,68,9,134,49,18,142,163,268,170,71,7,13,192,201,van
90,48,78,134,56,11,160,43,20,167,169,366,185,76,1,14,182,192,van
96,37,74,199,74,5,165,39,20,128,188,419,136,72,1,3,196,200,bus
